feature,impurity_importance,impurity_rank
feature_393,0.0013850518170517793,343
feature_565,0.001364204126899291,344
feature_116,0.001361559027180368,345
feature_171,0.001361330601682228,346
feature_472,0.0013558133832313813,347
feature_77,0.0013517712055664869,348
feature_53,0.0013486174349564394,349
feature_540,0.0013330230583040114,350
feature_11,0.0013287536217998278,351
feature_269,0.0013267864335575364,352
feature_368,0.001305751860498908,353
feature_12,0.0012912644612470341,354
feature_132,0.0012848302908409557,355
feature_32,0.0012797194258062936,356
feature_23,0.0012788560048710544,357
feature_427,0.001273042457913579,358
feature_306,0.0012719033036997656,359
feature_558,0.0012708784772128819,360
feature_499,0.0012700882012643543,361
feature_6,0.0012664398440226437,362
feature_561,0.001266121803084619,363
feature_4,0.0012660626364551409,364
feature_302,0.0012532880382668313,365
feature_271,0.0012447369975614677,366
feature_442,0.0012392603355895087,367
feature_490,0.0012206375168337565,368
feature_112,0.0012127074011475836,369
feature_493,0.0012087073882935573,370
feature_357,0.0012050122103082776,371
feature_569,0.001204986251694867,372
feature_436,0.0012018492661121632,373
feature_301,0.0011972702139376305,374
feature_566,0.0011815404730526032,375
feature_165,0.0011804658937799937,376
feature_485,0.0011754055865620771,377
feature_18,0.001172266961423459,378
feature_142,0.0011678424404747746,379
feature_225,0.0011510158758444035,380
feature_467,0.0011439598945738262,381
feature_106,0.0011424433636654716,382
feature_511,0.0011375408905493658,383
feature_148,0.0011259744893446326,384
feature_409,0.0011227103818751783,385
feature_589,0.0011103810934480927,386
feature_500,0.0011093768848044736,387
feature_337,0.0010909807415969298,388
feature_104,0.0010832762149818984,389
feature_567,0.001077088250665338,390
feature_167,0.001076853043176851,391
feature_93,0.0010759721649350792,392
feature_248,0.0010702185279600394,393
feature_350,0.0010688951441230928,394
feature_7,0.0010627605437256874,395
feature_151,0.0010570219844257237,396
feature_119,0.0010437062302999366,397
feature_82,0.001041287137005233,398
feature_354,0.0010380924093773617,399
feature_476,0.0010376308103945122,400
feature_360,0.0010285068921300979,401
feature_470,0.0010230305122990095,402
feature_251,0.00102061161676625,403
feature_361,0.0010175894160514838,404
feature_221,0.0010105045341266483,405
feature_334,0.0010065049125305382,406
feature_473,0.000977983699433081,407
feature_495,0.000970623575757372,408
feature_586,0.000967770927528517,409
feature_161,0.0009592728625643285,410
feature_482,0.0009402528304348008,411
feature_432,0.0009226071486590408,412
feature_95,0.0009095780447945989,413
feature_389,0.0008994556243596398,414
feature_546,0.0008790141291180874,415
feature_386,0.000874441827274396,416
feature_277,0.000870123264148049,417
feature_332,0.000851007493590966,418
feature_419,0.0008202545349841473,419
feature_41,0.0007792451288727369,420
feature_543,0.0007772168824086242,421
feature_278,0.0007625131324235049,422
feature_101,0.0007467403961119728,423
feature_441,0.0007388153685984832,424
feature_166,0.0007326112671782882,425
feature_542,0.0006951570321805238,426
feature_557,0.0006810115894535688,427
feature_136,0.0006574389659729244,428
feature_544,0.0006429843263452501,429
feature_80,0.0006398237973880062,430
feature_367,0.0006322888408102109,431
feature_564,0.0005938480603928933,432
feature_94,0.0005649601769988511,433
feature_545,0.000534568306008376,434
feature_376,0.0004901120226633975,435
feature_520,0.0003506341714826167,436
feature_249,0.00025544326090210076,437
feature_114,0.00024085332809897075,438
feature_387,0.0001462778329979757,439
feature_521,4.218539952798692e-05,440
feature_209,0.0,441
feature_347,0.0,442
feature_342,0.0,443
feature_206,0.0,444
feature_74,0.0,445
feature_478,0.0,446
